map1_06	A* 	3	70.7440376282	112.455844123	1180	124004
map1_06	A* 	4	104.747056961	112.455844123	2866	124004
map1_06	A* 	5	82.2978019714	112.455844123	1180	124004
map1_06	A* (Weight 1.25)	1	9.18006896973	121.633513652	380	124004
map1_06	A* (Weight 1.25)	2	5.61308860779	117.012193309	424	124004
map1_06	A* (Weight 1.25)	3	7.57002830505	119.704581464	372	124004
map1_06	A* (Weight 1.25)	4	10.3740692139	118.734018716	596	124004
map1_06	A* (Weight 1.25)	5	7.45606422424	119.704581464	370	124004
map1_06	A* (Weight 2)	1	4.56285476685	125.432503526	318	124004
map1_06	A* (Weight 2)	2	2.89797782898	125.633513652	302	124004
map1_06	A* (Weight 2)	3	3.32498550415	126.26093065	324	124004
map1_06	A* (Weight 2)	4	3.47304344177	138.811183182	339	124004
map1_06	A* (Weight 2)	5	3.27491760254	126.26093065	319	124004
map1_07	UCS	(None)	489.595174789	100.855339059	14464	124004
map1_07	A* 	1	15.4850482941	135.195959493	657	124004
map1_07	A* 	2	36.8919372559	128.589357775	1643	124004
map1_07	A* 	3	19.3819999695	136.003571337	942	124004
map1_07	A* 	4	140.077114105	130.068542495	4232	124004
map1_07	A* 	5	18.9478397369	136.003571337	942	124004
map1_07	A* (Weight 1.25)	1	6.58297538757	143.681240867	540	124004
map1_07	A* (Weight 1.25)	2	8.42809677124	136.488852712	590	124004
map1_07	A* (Weight 1.25)	3	9.91201400757	131.660425587	600	124004
map1_07	A* (Weight 1.25)	4	92.4479961395	166.302561211	1992	124004
map1_07	A* (Weight 1.25)	5	12.6898288727	131.660425587	599	124004
map1_07	A* (Weight 2)	1	5.9289932251	212.270598642	495	124004
map1_07	A* (Weight 2)	2	4.9889087677	155.793939239	485	124004
map1_07	A* (Weight 2)	3	4.62603569031	178.042676581	479	124004
map1_07	A* (Weight 2)	4	11.4259719849	204.536579926	552	124004
map1_07	A* (Weight 2)	5	5.13291358948	178.042676581	479	124004
map1_08	UCS	(None)	497.764825821	127.798989873	15284	124004
map1_08	A* 	1	35.5021953583	198.795201898	1083	124004
map1_08	A* 	2	75.0789642334	146.361435714	3073	124004
map1_08	A* 	3	55.811882019	147.361435714	1883	124004
map1_08	A* 	4	109.065055847	144.497474683	3508	124004
map1_08	A* 	5	67.7978992462	147.361435714	1887	124004
map1_08	A* (Weight 1.25)	1	9.66787338257	203.515764646	670	124004
map1_08	A* (Weight 1.25)	2	14.0359401703	155.903066274	903	124004
map1_08	A* (Weight 1.25)	3	10.421037674	158.802561211	686	124004
